2024-06-26 14:22:14.762 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de jogadores inicializado.
2024-06-26 14:22:14.778 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de monstros inicializado.
2024-06-26 14:22:14.778 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de itens inicializado.
2024-06-26 14:22:22.062 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de jogadores carregado.
2024-06-26 14:22:22.062 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de monstros carregado.
2024-06-26 14:22:22.062 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de itens carregado.
2024-06-26 14:22:22.062 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Jogo carregado.
2024-06-26 14:23:24.366 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de jogadores salvo.
2024-06-26 14:23:24.366 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de monstros salvo.
2024-06-26 14:23:24.366 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Arquivo de itens salvo.
2024-06-26 14:23:24.366 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Jogo salvo.
2024-06-26 14:23:45.116 [main] INFO  br.edu.up.allanhousequest.utils.Utils - Jogo iniciado com jogador kaua.
